# Isotope Spectrum Builder - bin metadata
# detector=NaI
# isotope=Cs-137
# n_bins=2048
# e_min_keV=0.0
# e_max_keV=2520.0
# normalization=raw
# acquisition_time_s=
# base_seed=42
# builder=Created by Dr K. Karafasoulis
# url=http://karafasoulis.eu
bin_index,e_low_keV,e_high_keV,e_center_keV,bin_width_keV
316,388.828125,390.05859375,389.443359375,1.23046875
317,390.05859375,391.2890625,390.673828125,1.23046875
318,391.2890625,392.51953125,391.904296875,1.23046875
319,392.51953125,393.75,393.134765625,1.23046875
320,393.75,394.98046875,394.365234375,1.23046875
321,394.98046875,396.2109375,395.595703125,1.23046875
322,396.2109375,397.44140625,396.826171875,1.23046875
323,397.44140625,398.671875,398.056640625,1.23046875
324,398.671875,399.90234375,399.287109375,1.23046875
325,399.90234375,401.1328125,400.517578125,1.23046875
326,401.1328125,402.36328125,401.748046875,1.23046875
327,402.36328125,403.59375,402.978515625,1.23046875
328,403.59375,404.82421875,404.208984375,1.23046875
329,404.82421875,406.0546875,405.439453125,1.23046875
330,406.0546875,407.28515625,406.669921875,1.23046875
331,407.28515625,408.515625,407.900390625,1.23046875
332,408.515625,409.74609375,409.130859375,1.23046875
333,409.74609375,410.9765625,410.361328125,1.23046875
334,410.9765625,412.20703125,411.591796875,1.23046875
335,412.20703125,413.4375,412.822265625,1.23046875
336,413.4375,414.66796875,414.052734375,1.23046875
337,414.66796875,415.8984375,415.283203125,1.23046875
338,415.8984375,417.12890625,416.513671875,1.23046875
339,417.12890625,418.359375,417.744140625,1.23046875
340,418.359375,419.58984375,418.974609375,1.23046875
341,419.58984375,420.8203125,420.205078125,1.23046875
342,420.8203125,422.05078125,421.435546875,1.23046875
343,422.05078125,423.28125,422.666015625,1.23046875
344,423.28125,424.51171875,423.896484375,1.23046875
345,424.51171875,425.7421875,425.126953125,1.23046875
346,425.7421875,426.97265625,426.357421875,1.23046875
347,426.97265625,428.203125,427.587890625,1.23046875
348,428.203125,429.43359375,428.818359375,1.23046875
349,429.43359375,430.6640625,430.048828125,1.23046875
350,430.6640625,431.89453125,431.279296875,1.23046875
351,431.89453125,433.125,432.509765625,1.23046875
352,433.125,434.35546875,433.740234375,1.23046875
353,434.35546875,435.5859375,434.970703125,1.23046875
354,435.5859375,436.81640625,436.201171875,1.23046875
355,436.81640625,438.046875,437.431640625,1.23046875
356,438.046875,439.27734375,438.662109375,1.23046875
357,439.27734375,440.5078125,439.892578125,1.23046875
358,440.5078125,441.73828125,441.123046875,1.23046875
359,441.73828125,442.96875,442.353515625,1.23046875
360,442.96875,444.19921875,443.583984375,1.23046875
361,444.19921875,445.4296875,444.814453125,1.23046875
362,445.4296875,446.66015625,446.044921875,1.23046875
363,446.66015625,447.890625,447.275390625,1.23046875
364,447.890625,449.12109375,448.505859375,1.23046875
365,449.12109375,450.3515625,449.736328125,1.23046875
366,450.3515625,451.58203125,450.966796875,1.23046875
367,451.58203125,452.8125,452.197265625,1.23046875
368,452.8125,454.04296875,453.427734375,1.23046875
369,454.04296875,455.2734375,454.658203125,1.23046875
370,455.2734375,456.50390625,455.888671875,1.23046875
371,456.50390625,457.734375,457.119140625,1.23046875
372,457.734375,458.96484375,458.349609375,1.23046875
373,458.96484375,460.1953125,459.580078125,1.23046875
374,460.1953125,461.42578125,460.810546875,1.23046875
375,461.42578125,462.65625,462.041015625,1.23046875
376,462.65625,463.88671875,463.271484375,1.23046875
377,463.88671875,465.1171875,464.501953125,1.23046875
378,465.1171875,466.34765625,465.732421875,1.23046875
379,466.34765625,467.578125,466.962890625,1.23046875
380,467.578125,468.80859375,468.193359375,1.23046875
381,468.80859375,470.0390625,469.423828125,1.23046875
382,470.0390625,471.26953125,470.654296875,1.23046875
383,471.26953125,472.5,471.884765625,1.23046875
384,472.5,473.73046875,473.115234375,1.23046875
385,473.73046875,474.9609375,474.345703125,1.23046875
386,474.9609375,476.19140625,475.576171875,1.23046875
387,476.19140625,477.421875,476.806640625,1.23046875
388,477.421875,478.65234375,478.037109375,1.23046875
389,478.65234375,479.8828125,479.267578125,1.23046875
390,479.8828125,481.11328125,480.498046875,1.23046875
391,481.11328125,482.34375,481.728515625,1.23046875
392,482.34375,483.57421875,482.958984375,1.23046875
393,483.57421875,484.8046875,484.189453125,1.23046875
394,484.8046875,486.03515625,485.419921875,1.23046875
395,486.03515625,487.265625,486.650390625,1.23046875
396,487.265625,488.49609375,487.880859375,1.23046875
397,488.49609375,489.7265625,489.111328125,1.23046875
398,489.7265625,490.95703125,490.341796875,1.23046875
399,490.95703125,492.1875,491.572265625,1.23046875
400,492.1875,493.41796875,492.802734375,1.23046875
401,493.41796875,494.6484375,494.033203125,1.23046875
402,494.6484375,495.87890625,495.263671875,1.23046875
403,495.87890625,497.109375,496.494140625,1.23046875
404,497.109375,498.33984375,497.724609375,1.23046875
405,498.33984375,499.5703125,498.955078125,1.23046875
406,499.5703125,500.80078125,500.185546875,1.23046875
407,500.80078125,502.03125,501.416015625,1.23046875
408,502.03125,503.26171875,502.646484375,1.23046875
409,503.26171875,504.4921875,503.876953125,1.23046875
410,504.4921875,505.72265625,505.107421875,1.23046875
411,505.72265625,506.953125,506.337890625,1.23046875
412,506.953125,508.18359375,507.568359375,1.23046875
413,508.18359375,509.4140625,508.798828125,1.23046875
414,509.4140625,510.64453125,510.029296875,1.23046875
415,510.64453125,511.875,511.259765625,1.23046875
416,511.875,513.10546875,512.490234375,1.23046875
417,513.10546875,514.3359375,513.720703125,1.23046875
418,514.3359375,515.56640625,514.951171875,1.23046875
419,515.56640625,516.796875,516.181640625,1.23046875
420,516.796875,518.02734375,517.412109375,1.23046875
421,518.02734375,519.2578125,518.642578125,1.23046875
422,519.2578125,520.48828125,519.873046875,1.23046875
423,520.48828125,521.71875,521.103515625,1.23046875
424,521.71875,522.94921875,522.333984375,1.23046875
425,522.94921875,524.1796875,523.564453125,1.23046875
426,524.1796875,525.41015625,524.794921875,1.23046875
427,525.41015625,526.640625,526.025390625,1.23046875
428,526.640625,527.87109375,527.255859375,1.23046875
429,527.87109375,529.1015625,528.486328125,1.23046875
430,529.1015625,530.33203125,529.716796875,1.23046875
431,530.33203125,531.5625,530.947265625,1.23046875
432,531.5625,532.79296875,532.177734375,1.23046875
433,532.79296875,534.0234375,533.408203125,1.23046875
434,534.0234375,535.25390625,534.638671875,1.23046875
435,535.25390625,536.484375,535.869140625,1.23046875
436,536.484375,537.71484375,537.099609375,1.23046875
437,537.71484375,538.9453125,538.330078125,1.23046875
438,538.9453125,540.17578125,539.560546875,1.23046875
439,540.17578125,541.40625,540.791015625,1.23046875
440,541.40625,542.63671875,542.021484375,1.23046875
441,542.63671875,543.8671875,543.251953125,1.23046875
442,543.8671875,545.09765625,544.482421875,1.23046875
443,545.09765625,546.328125,545.712890625,1.23046875
444,546.328125,547.55859375,546.943359375,1.23046875
445,547.55859375,548.7890625,548.173828125,1.23046875
446,548.7890625,550.01953125,549.404296875,1.23046875
447,550.01953125,551.25,550.634765625,1.23046875
448,551.25,552.48046875,551.865234375,1.23046875
449,552.48046875,553.7109375,553.095703125,1.23046875
450,553.7109375,554.94140625,554.326171875,1.23046875
451,554.94140625,556.171875,555.556640625,1.23046875
452,556.171875,557.40234375,556.787109375,1.23046875
453,557.40234375,558.6328125,558.017578125,1.23046875
454,558.6328125,559.86328125,559.248046875,1.23046875
455,559.86328125,561.09375,560.478515625,1.23046875
456,561.09375,562.32421875,561.708984375,1.23046875
457,562.32421875,563.5546875,562.939453125,1.23046875
458,563.5546875,564.78515625,564.169921875,1.23046875
459,564.78515625,566.015625,565.400390625,1.23046875
460,566.015625,567.24609375,566.630859375,1.23046875
461,567.24609375,568.4765625,567.861328125,1.23046875
462,568.4765625,569.70703125,569.091796875,1.23046875
463,569.70703125,570.9375,570.322265625,1.23046875
464,570.9375,572.16796875,571.552734375,1.23046875
465,572.16796875,573.3984375,572.783203125,1.23046875
466,573.3984375,574.62890625,574.013671875,1.23046875
467,574.62890625,575.859375,575.244140625,1.23046875
468,575.859375,577.08984375,576.474609375,1.23046875
469,577.08984375,578.3203125,577.705078125,1.23046875
470,578.3203125,579.55078125,578.935546875,1.23046875
471,579.55078125,580.78125,580.166015625,1.23046875
472,580.78125,582.01171875,581.396484375,1.23046875
473,582.01171875,583.2421875,582.626953125,1.23046875
474,583.2421875,584.47265625,583.857421875,1.23046875
475,584.47265625,585.703125,585.087890625,1.23046875
476,585.703125,586.93359375,586.318359375,1.23046875
477,586.93359375,588.1640625,587.548828125,1.23046875
478,588.1640625,589.39453125,588.779296875,1.23046875
479,589.39453125,590.625,590.009765625,1.23046875
480,590.625,591.85546875,591.240234375,1.23046875
